Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH2 Voltage,CH2 Current,CH2 Time
1,1,1,-48.10000E-006,-6.70000E-012,10.25200E-003,0.00000E+000,10.00000E-009,10.25200E-003
1,1,2,-43.30000E-006,-4.30000E-012,178.85600E-003,42.00000E-003,-9.57900E-006,178.85600E-003
1,1,3,-46.70000E-006,-9.90000E-012,347.17900E-003,84.00000E-003,-13.70700E-006,347.17900E-003
1,1,4,-47.10000E-006,-17.20000E-012,515.40300E-003,126.00000E-003,-13.86100E-006,515.40300E-003
1,1,5,-44.10000E-006,-11.50000E-012,706.13600E-003,168.00000E-003,14.66100E-006,706.13600E-003
1,1,6,-50.80000E-006,-8.10000E-012,874.38000E-003,210.00000E-003,12.14800E-006,874.38000E-003
1,1,7,-48.30000E-006,-16.30000E-012,1.04263E+000,252.00000E-003,4.13100E-006,1.04263E+000
1,1,8,-47.70000E-006,-5.50000E-012,1.21978E+000,294.00000E-003,8.03600E-006,1.21978E+000
1,1,9,-48.70000E-006,-14.50000E-012,1.38848E+000,336.00000E-003,13.39300E-006,1.38848E+000
1,1,10,-44.10000E-006,-3.70000E-012,1.55677E+000,378.00000E-003,13.53100E-006,1.55677E+000
1,1,11,-45.10000E-006,-11.60000E-012,1.72505E+000,420.00000E-003,8.37200E-006,1.72505E+000
1,1,12,-48.10000E-006,-5.80000E-012,1.89327E+000,462.00000E-003,454.00000E-009,1.89327E+000
1,1,13,-43.60000E-006,-2.20000E-012,2.06152E+000,504.00000E-003,-8.77100E-006,2.06152E+000
1,1,14,-45.90000E-006,-19.00000E-012,2.22979E+000,546.00000E-003,-13.09900E-006,2.22979E+000
1,1,15,-48.30000E-006,-28.50000E-012,2.39803E+000,588.00000E-003,-14.10300E-006,2.39803E+000
1,1,16,-43.60000E-006,-6.30000E-012,2.56627E+000,630.00000E-003,-9.28200E-006,2.56627E+000
1,1,17,-46.10000E-006,-12.10000E-012,2.73455E+000,672.00000E-003,-2.15700E-006,2.73455E+000
1,1,18,-50.30000E-006,-22.10000E-012,2.90280E+000,713.90000E-003,7.45100E-006,2.90280E+000
1,1,19,-46.30000E-006,-40.50000E-012,3.07104E+000,756.00000E-003,12.33000E-006,3.07104E+000
1,1,20,-50.00000E-006,-18.10000E-012,3.23929E+000,798.00000E-003,14.47400E-006,3.23929E+000
1,1,21,-48.70000E-006,-12.40000E-012,3.40755E+000,840.00000E-003,11.11500E-006,3.40755E+000
1,1,22,-42.70000E-006,-8.20000E-012,3.57579E+000,882.00000E-003,3.37800E-006,3.57579E+000
1,1,23,-47.00000E-006,-1.30000E-012,3.74405E+000,924.00000E-003,-5.52800E-006,3.74405E+000
1,1,24,-46.90000E-006,6.50000E-012,3.91230E+000,966.00000E-003,-11.14100E-006,3.91230E+000
1,1,25,-44.00000E-006,33.10000E-012,4.08055E+000,1.00800E+000,-14.71000E-006,4.08055E+000
1,1,26,-47.80000E-006,11.70000E-012,4.24882E+000,1.05000E+000,-12.55300E-006,4.24882E+000
1,1,27,-45.90000E-006,-16.40000E-012,4.41704E+000,1.09200E+000,-4.54600E-006,4.41704E+000
1,1,28,-44.30000E-006,-34.20000E-012,4.58528E+000,1.13400E+000,3.84100E-006,4.58528E+000
1,1,29,-47.40000E-006,-50.60000E-012,4.75356E+000,1.17600E+000,10.05300E-006,4.75356E+000
1,1,30,-47.30000E-006,-27.00000E-012,4.92179E+000,1.21800E+000,14.84200E-006,4.92179E+000
1,1,31,-48.00000E-006,-33.10000E-012,5.09004E+000,1.26000E+000,13.07700E-006,5.09004E+000
1,1,32,-51.00000E-006,-51.30000E-012,5.25841E+000,1.30200E+000,5.46300E-006,5.25841E+000
1,1,33,-47.20000E-006,-43.00000E-012,5.42665E+000,1.34400E+000,-2.90200E-006,5.42665E+000
1,1,34,-45.20000E-006,-28.30000E-012,5.59488E+000,1.38600E+000,-9.71100E-006,5.59488E+000
1,1,35,-48.40000E-006,-12.20000E-012,5.76312E+000,1.42800E+000,-13.98900E-006,5.76312E+000
1,1,36,-44.30000E-006,-37.50000E-012,5.93137E+000,1.47000E+000,-13.76500E-006,5.93137E+000
1,1,37,-45.90000E-006,-36.70000E-012,6.09964E+000,1.51200E+000,-6.65300E-006,6.09964E+000
1,1,38,-48.50000E-006,-33.80000E-012,6.26789E+000,1.55400E+000,1.58000E-006,6.26789E+000
1,1,39,-43.50000E-006,-5.90000E-012,6.43614E+000,1.59600E+000,9.50200E-006,6.43614E+000
1,1,40,-46.20000E-006,62.50000E-012,6.60440E+000,1.63800E+000,13.42100E-006,6.60440E+000
1,1,41,-47.90000E-006,28.90000E-012,6.77266E+000,1.68000E+000,13.62500E-006,6.77266E+000
1,1,42,-43.60000E-006,51.00000E-012,6.94090E+000,1.72200E+000,8.15900E-006,6.94090E+000
1,1,43,-50.00000E-006,16.10000E-012,7.10915E+000,1.76400E+000,5.00000E-009,7.10915E+000
1,1,44,-50.60000E-006,20.40000E-012,7.27742E+000,1.80600E+000,-8.96600E-006,7.27742E+000
1,1,45,-46.50000E-006,-75.90000E-012,7.44567E+000,1.84800E+000,-13.25700E-006,7.44567E+000
1,1,46,-48.10000E-006,-12.90000E-012,7.61392E+000,1.89000E+000,-13.72900E-006,7.61392E+000
1,1,47,-47.70000E-006,26.70000E-012,7.78219E+000,1.93200E+000,-8.87900E-006,7.78219E+000
1,1,48,-43.90000E-006,22.20000E-012,7.95043E+000,1.97400E+000,-1.55600E-006,7.95043E+000
1,1,49,-47.80000E-006,-7.20000E-012,8.11866E+000,2.01600E+000,8.17400E-006,8.11866E+000
1,1,50,-46.80000E-006,12.00000E-012,8.28693E+000,2.05800E+000,12.90400E-006,8.28693E+000
1,1,51,-43.70000E-006,15.50000E-012,8.45518E+000,2.10000E+000,14.31600E-006,8.45518E+000
1,1,52,-48.20000E-006,5.60000E-012,8.62352E+000,2.14200E+000,9.29600E-006,8.62352E+000
1,1,53,-46.30000E-006,32.50000E-012,8.79177E+000,2.18400E+000,2.03400E-006,8.79177E+000
1,1,54,-44.80000E-006,11.00000E-012,8.96002E+000,2.22600E+000,-7.51500E-006,8.96002E+000
1,1,55,-49.90000E-006,1.10000E-012,9.12826E+000,2.26800E+000,-12.57000E-006,9.12826E+000
1,1,56,-48.70000E-006,-13.40000E-012,9.29651E+000,2.31000E+000,-14.69700E-006,9.29651E+000
1,1,57,-49.20000E-006,-23.10000E-012,9.46478E+000,2.35200E+000,-10.47400E-006,9.46478E+000
1,1,58,-50.30000E-006,3.80000E-012,9.63303E+000,2.39390E+000,-2.91600E-006,9.63303E+000
1,1,59,-45.30000E-006,15.20000E-012,9.80130E+000,2.43600E+000,6.54700E-006,9.80130E+000
1,1,60,-45.90000E-006,14.50000E-012,9.96954E+000,2.47800E+000,12.17900E-006,9.96954E+000
1,1,61,-48.10000E-006,7.60000E-012,10.13779E+000,2.52000E+000,14.57900E-006,10.13779E+000
1,1,62,-44.20000E-006,11.90000E-012,10.30606E+000,2.56200E+000,11.81700E-006,10.30606E+000
1,1,63,-46.30000E-006,6.20000E-012,10.47448E+000,2.60400E+000,3.04100E-006,10.47448E+000
1,1,64,-48.50000E-006,13.50000E-012,10.64277E+000,2.64600E+000,-6.42100E-006,10.64277E+000
1,1,65,-43.80000E-006,8.30000E-012,10.81104E+000,2.68800E+000,-11.92200E-006,10.81104E+000
1,1,66,-46.60000E-006,-600.00000E-015,10.97943E+000,2.73000E+000,-14.62800E-006,10.97943E+000
1,1,67,-48.40000E-006,10.50000E-012,11.14772E+000,2.77190E+000,-10.09500E-006,11.14772E+000
1,1,68,-46.10000E-006,7.70000E-012,11.31598E+000,2.81400E+000,-2.73400E-006,11.31598E+000
1,1,69,-50.50000E-006,-9.70000E-012,11.48484E+000,2.85600E+000,9.21200E-006,11.48484E+000
1,1,70,-51.80000E-006,-4.30000E-012,11.65312E+000,2.89800E+000,13.38600E-006,11.65312E+000
1,1,71,-43.90000E-006,-8.90000E-012,11.82137E+000,2.94000E+000,13.56000E-006,11.82137E+000
1,1,72,-47.80000E-006,-5.40000E-012,11.98962E+000,2.98200E+000,8.62600E-006,11.98962E+000
1,1,73,-47.60000E-006,-9.10000E-012,12.15792E+000,3.02400E+000,157.00000E-009,12.15792E+000
1,1,74,-43.40000E-006,-4.90000E-012,12.32667E+000,3.06600E+000,-9.68900E-006,12.32667E+000
1,1,75,-47.90000E-006,-3.10000E-012,12.49491E+000,3.10800E+000,-14.25000E-006,12.49491E+000
1,1,76,-47.50000E-006,-4.60000E-012,12.66314E+000,3.15000E+000,-13.68600E-006,12.66314E+000
1,1,77,-44.70000E-006,-3.50000E-012,12.83141E+000,3.19200E+000,-6.56900E-006,12.83141E+000
1,1,78,-48.30000E-006,-3.80000E-012,12.99965E+000,3.23400E+000,1.78500E-006,12.99965E+000
1,1,79,-46.70000E-006,-1.70000E-012,13.16792E+000,3.27600E+000,9.57400E-006,13.16792E+000
1,1,80,-46.30000E-006,-5.00000E-012,13.33618E+000,3.31800E+000,13.55000E-006,13.33618E+000
1,1,81,-51.90000E-006,-5.90000E-012,13.50442E+000,3.36000E+000,13.85600E-006,13.50442E+000
1,1,82,-49.00000E-006,-1.60000E-012,13.67272E+000,3.40200E+000,7.37100E-006,13.67272E+000
1,1,83,-46.80000E-006,-8.20000E-012,13.84099E+000,3.44400E+000,-947.00000E-009,13.84099E+000
1,1,84,-48.60000E-006,-1.80000E-012,14.00936E+000,3.48600E+000,-9.52000E-006,14.00936E+000
1,1,85,-45.40000E-006,-2.50000E-012,14.17765E+000,3.52800E+000,-13.42400E-006,14.17765E+000
1,1,86,-45.20000E-006,-600.00000E-015,14.34593E+000,3.57000E+000,-13.89400E-006,14.34593E+000
1,1,87,-48.70000E-006,-1.00000E-012,14.51416E+000,3.61200E+000,-7.18000E-006,14.51416E+000
1,1,88,-44.80000E-006,2.70000E-012,14.68245E+000,3.65400E+000,1.23600E-006,14.68245E+000
1,1,89,-46.50000E-006,-700.00000E-015,14.85074E+000,3.69600E+000,9.50600E-006,14.85074E+000
1,1,90,-49.10000E-006,400.00000E-015,15.01897E+000,3.73800E+000,13.42100E-006,15.01897E+000
1,1,91,-44.50000E-006,2.30000E-012,15.18725E+000,3.78000E+000,13.70500E-006,15.18725E+000
1,1,92,-47.10000E-006,3.70000E-012,15.35554E+000,3.82200E+000,7.74400E-006,15.35554E+000
1,1,93,-52.00000E-006,2.10000E-012,15.52377E+000,3.86400E+000,-268.00000E-009,15.52377E+000
1,1,94,-47.10000E-006,2.70000E-012,15.69217E+000,3.90600E+000,-9.36000E-006,15.69217E+000
1,1,95,-50.30000E-006,3.00000E-012,15.86044E+000,3.94800E+000,-13.41200E-006,15.86044E+000
1,1,96,-48.20000E-006,1.50000E-012,16.02868E+000,3.99000E+000,-13.66100E-006,16.02868E+000
1,1,97,-43.60000E-006,2.50000E-012,16.19691E+000,4.03200E+000,-8.18900E-006,16.19691E+000
1,1,98,-47.40000E-006,800.00000E-015,16.36519E+000,4.07400E+000,31.00000E-009,16.36519E+000
1,1,99,-48.20000E-006,4.20000E-012,16.53343E+000,4.11600E+000,9.13100E-006,16.53343E+000
1,1,100,-44.20000E-006,2.60000E-012,16.70168E+000,4.15800E+000,13.30100E-006,16.70168E+000
1,1,101,-47.90000E-006,5.70000E-012,16.86993E+000,4.20000E+000,13.76600E-006,16.86993E+000
1,1,102,-47.60000E-006,5.00000E-012,17.03815E+000,4.24200E+000,9.05900E-006,17.03815E+000
1,1,103,-44.00000E-006,6.60000E-012,17.20644E+000,4.28400E+000,1.49800E-006,17.20644E+000
1,1,104,-48.40000E-006,6.10000E-012,17.37473E+000,4.32600E+000,-8.37600E-006,17.37473E+000
1,1,105,-49.20000E-006,6.70000E-012,17.54309E+000,4.36800E+000,-13.20400E-006,17.54309E+000
1,1,106,-47.70000E-006,5.60000E-012,17.71134E+000,4.41000E+000,-13.84300E-006,17.71134E+000
1,1,107,-51.40000E-006,9.00000E-012,17.87962E+000,4.45200E+000,-8.96000E-006,17.87962E+000
1,1,108,-47.10000E-006,11.80000E-012,18.04789E+000,4.49400E+000,-1.72800E-006,18.04789E+000
1,1,109,-45.90000E-006,12.00000E-012,18.24072E+000,4.53600E+000,-5.42500E-006,18.24072E+000
1,1,110,-48.70000E-006,9.90000E-012,18.40899E+000,4.57800E+000,-11.27500E-006,18.40899E+000
1,1,111,-44.70000E-006,12.00000E-012,18.57723E+000,4.62000E+000,-14.62700E-006,18.57723E+000
1,1,112,-46.40000E-006,15.20000E-012,18.75552E+000,4.66200E+000,4.03400E-006,18.75552E+000
1,1,113,-48.90000E-006,14.00000E-012,18.92385E+000,4.70400E+000,-5.15200E-006,18.92385E+000
1,1,114,-43.30000E-006,15.60000E-012,19.09211E+000,4.74600E+000,-11.01400E-006,19.09211E+000
1,1,115,-46.60000E-006,15.90000E-012,19.26044E+000,4.78800E+000,-14.55800E-006,19.26044E+000
